Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Commercial,SUB,GLM,matRRlow,1.063325474,0.775626707,0.939187012,0.913146884,0.684409123,0.935237633,0.895402987,1.035591176
Commercial,SUB,GLM,matRRhigh,1.371544531,1.042378209,1.241647575,1.203292297,0.906125285,1.23682692,1.197806971,1.331484523
Commercial,SMM,GLM,matRRfit,1.044385654,0.803706213,1.407248944,0.85890161,1.03001369,1.019261722,1.234279793,0.920538271
Commercial,SMM,GLM,matRRlow,0.894432392,0.675197784,1.198485449,0.729250469,0.876150273,0.864382093,1.04277705,0.792018793
Commercial,SMM,GLM,matRRhigh,1.21947886,0.956673277,1.652376833,1.011603019,1.210897529,1.20189262,1.460951416,1.069912375
Region: Coastal,GDM,GLM,matRRfit,0.988340815,1.041935511,0.922236306,1.105204411,1.014698098,0.914716411,0.912467216,0.959280031
Region: Coastal,GDM,GLM,matRRlow,0.86496693,0.89592037,0.79494679,0.954878449,0.87430522,0.785165017,0.779039033,0.833574229
Region: Coastal,GDM,GLM,matRRhigh,1.129312038,1.211747879,1.069907841,1.279196103,1.177634775,1.065643647,1.068748015,1.103942691
Region: Coastal,PTB,GLM,matRRfit,1.104742372,0.944825794,0.968106139,1.01493396,1.079275723,0.880550851,0.996455803,0.997370429
Region: Coastal,PTB,GLM,matRRlow,0.991116125,0.83436288,0.858032623,0.900470771,0.957232534,0.778054856,0.877684653,0.891282219
Region: Coastal,PTB,GLM,matRRhigh,1.231395269,1.069913107,1.092300538,1.143947118,1.216878914,0.996549017,1.131299452,1.116086187
Region: Coastal,HDP,GLM,matRRfit,1.056594487,0.948852975,1.122472053,0.971381387,0.871005687,1.123842582,0.92762071,1.028241677
Region: Coastal,HDP,GLM,matRRlow,0.952065872,0.842589709,1.000814059,0.864807682,0.7735019,0.998781665,0.820879499,0.923584258
Region: Coastal,HDP,GLM,matRRhigh,1.172599443,1.068517642,1.258918676,1.091088595,0.980800314,1.264562811,1.048241772,1.144758517
Region: Coastal,SMI,GLM,matRRfit,0.879750482,1.682598878,0.487794454,1.190551854,1.917258677,0.459746809,1.727309927,0.461285211
Region: Coastal,SMI,GLM,matRRlow,0.666645991,1.236410237,0.348621295,0.870560704,1.426250317,0.329819729,1.271845898,0.33402711
Region: Coastal,SMI,GLM,matRRhigh,1.160977372,2.289805519,0.68252695,1.628161841,2.577304131,0.640856534,2.345881359,0.637026277
Region: Coastal,PMAD,GLM,matRRfit,0.909664942,1.089406639,0.911904235,1.125621902,0.930984371,1.002399544,0.977200808,0.960442462
Region: Coastal,PMAD,GLM,matRRlow,0.786286102,0.92548716,0.775853144,0.960805244,0.791236514,0.850204831,0.825119607,0.826935573
Region: Coastal,PMAD,GLM,matRRhigh,1.052403578,1.28235904,1.071812805,1.318711232,1.095414436,1.181838551,1.157312722,1.115503738
Region: Coastal,MDP,GLM,matRRfit,0.952852706,1.088169086,0.934984499,1.010859487,1.050877104,0.909830564,1.087067915,0.852776183
Region: Coastal,MDP,GLM,matRRlow,0.842602301,0.947313687,0.814791306,0.881899824,0.91588323,0.790134573,0.94289283,0.749850971
Region: Coastal,MDP,GLM,matRRhigh,1.07752884,1.249968176,1.07290788,1.158676842,1.205767999,1.047659074,1.253288405,0.969829001
